cod_ibge,E,X,M,IRBI,PH_x,PH_y,Ph_x,Ph_y,R_x,R_y,Angulo,Odu,Theta,S_m,S_potencial,S_dispersiva,Regime
1200385,0.0008542205806881412,0.5,0.0,0.17534168823227525,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200393,0.00016544538210523806,0.5,0.0,0.1750661781528421,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200401,0.011888760178371982,0.5,0.0,0.17975550407134877,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200427,0.00024548128641404106,0.5,0.0,0.1750981925145656,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200435,9.933763650183579e-05,0.5,0.0,0.17503973505460071,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200450,0.001074818299769528,0.5,0.0,0.1754299273199078,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200500,0.0008675133827801115,0.5,0.0,0.17534700535311204,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200609,0.0008240374414700846,0.5,0.0,0.17532961497658803,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200708,0.0006462898215770097,0.5,0.0,0.1752585159286308,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1200807,0.0005963693978785104,0.5,0.0,0.1752385477591514,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300029,0.00021274826341629357,0.5,0.0,0.1750850993053665,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300060,0.00010905404687461289,0.5,0.0,0.17504362161874984,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300086,0.00012101376296070007,0.5,0.0,0.17504840550518427,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300102,0.0002448237293199417,0.5,0.0,0.17509792949172798,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300144,0.00031715183817363456,0.5,0.0,0.17512686073526945,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300201,0.00016549612606105282,0.5,0.0,0.1750661984504244,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300300,0.0005781745182216867,0.5,0.0,0.17523126980728868,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300409,0.00019762762174924638,0.5,0.0,0.1750790510486997,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300508,0.0003768531593554255,0.5,0.0,0.17515074126374217,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
1300607,0.00039072634544202697,0.5,0.0,0.1751562905381768,0.0,1.0,0.0,0.0,0.0,1.0,90.0,64,0.5,0.5,0.25,0.25,Entropia potencial
